Name,Style,Strengths,Weaknesses
Alex Stiebling,submission specialist,"technical grappling, creativity in submissions, adaptability","striking defense, limited striking power, reliance on ground game"
Andrei Arlovski,striker,"powerful punches, quick footwork, experience","chin vulnerability, grappling defense, inconsistent performance"
Aaron Brink,brawler,"aggressive striking, resilience, strong clinch game","defensive lapses, cardio issues, limited grappling skills"
Josh Barnett,submission specialist,"grappling expertise, ground control, fight IQ","striking defense, susceptibility to quick knockouts, aging"
Gan McGee,technical striker,"precision striking, reach advantage, solid takedown defense","limited grappling offense, can be outpaced, inconsistent output"
Renato Sobral,pressure wrestler,"strong wrestling base, effective submissions, cardio","striking vulnerability, can be outmaneuvered, slow start"
Dennis Hallman,submission specialist,"excellent grappling skills, high-level submission game, strong cardio","vulnerability to striking, inconsistent performance, limited stand-up striking"
Matt Lindland,pressure wrestler,"strong wrestling base, relentless pressure, effective ground and pound","limited striking versatility, susceptibility to submissions, can be outpaced"
Sean Sherk,grinder,"incredible stamina, aggressive takedowns, effective striking volume","defensive vulnerabilities, struggles against elite strikers, can be outmaneuvered"
Phil Baroni,brawler,"powerful striking, aggressive fighting style, strong mental toughness","defensive liabilities, limited grappling skills, can gas out quickly"
Curtis Stout,striker,"effective stand-up game, good footwork, solid striking technique","vulnerable on the ground, inconsistent fight IQ, limited grappling defense"
Mark Robinson,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited submission skills"
Elvis Sinosic,submission specialist,"excellent grappling, strong positional control, versatile submissions","striking defense, susceptibility to stand-up exchanges, inconsistent pace"
Phil Johns,technical wrestler,"solid takedown ability, effective ground control, high fight IQ","limited striking output, reliance on wrestling, can be outpaced"
Caol Uno,well-rounded fighter,"balanced striking and grappling, strong cardio, adaptability in fights","inconsistent aggression, can struggle against elite wrestlers, occasional defensive lapses"
Tony DeSouza,grappler,"strong takedowns, relentless pressure, effective submissions","striking vulnerability, can be outmaneuvered, stamina concerns in later rounds"
Steve Berger,grappler,"strong wrestling base, effective ground control, good submission skills","limited striking power, can be outpaced by faster fighters, sometimes struggles against high-level strikers"
BJ Penn,submission specialist,"elite Brazilian Jiu-Jitsu, versatile striking, high fight IQ","inconsistent conditioning, can be vulnerable to pressure fighters, has faced challenges against larger opponents"
Joey Gilbert,striker,"powerful punches, solid boxing technique, good footwork","defensive grappling can be exploited, lacks experience against elite grapplers, sometimes overly aggressive"
Ricardo Almeida,well-rounded,"strong grappling and striking balance, effective in transitions, good fight strategy","can be outpaced in striking exchanges, occasionally relies too much on grappling, may struggle against relentless pressure"
Semmy Schilt,kickboxer,"height and reach advantage, powerful kicks, excellent striking defense","limited ground game, can be slow in movement, sometimes struggles against agile opponents"
Matt Serra,Brawler,"Powerful striking, strong grappling, effective counter-punching","Limited reach, susceptibility to takedowns, inconsistent cardio"
Paul Rodriguez,Striker,"Fast hands, good footwork, solid striking defense","Limited grappling skills, can be outpaced, struggles against pressure fighters"
Ricco Rodriguez,Submission Specialist,"Exceptional grappling, high-level submissions, strong positional control","Struggles with stand-up exchanges, can be taken down, cardio issues in later rounds"
Vladimir Matyushenko,Pressure Wrestler,"Strong wrestling base, relentless pressure, effective clinch work","Limited striking versatility, can be outmaneuvered, defensive vulnerabilities"
Din Thomas,Technical Striker,"Versatile striking, excellent fight IQ, strong grappling transitions","Can be outmuscled, occasionally hesitant, injury-prone"
Jutaro Nakao,striker,"powerful striking, effective distance management, quick footwork","limited grappling defense, susceptibility to takedowns, inconsistent cardio"
Gil Castillo,grappler,"strong wrestling base, excellent ground control, submission proficiency","striking defense vulnerabilities, slow pace, limited striking output"
Yves Edwards,technical striker,"high-level kickboxing, diverse striking arsenal, good fight IQ","defensive grappling issues, occasional over-reliance on striking, can be outpaced"
Frank Mir,submission specialist,"elite grappling skills, dangerous submissions, strong positional awareness","slower movement, vulnerability to strikes while standing, cardio concerns in later rounds"
Homer Moore,brawler,"aggressive fighting style, knockout power, high pressure","defensive lapses, limited technical striking, struggles against skilled grapplers"
Keith Rockel,brawler,"powerful striking, relentless pressure, durability","limited grappling, susceptibility to counters, stamina issues"
Andrei Semenov,technical striker,"precision striking, effective footwork, strong defense","lack of finishing ability, vulnerability to takedowns, cautious approach"
Amar Suloev,submission specialist,"high-level grappling, creativity in submissions, strong positional control","striking defense, reliance on ground game, can be outpaced"
Kelly Dullanty,pressure wrestler,"excellent takedown ability, ground control, cardio","striking limitations, can be outstruck at range, overcommitment to takedowns"
Hayato Sakurai,well-rounded,"versatile skill set, effective striking and grappling, high fight IQ","inconsistency in performance, potential for being outmuscled, age-related decline"
Robbie Lawler,brawler,"powerful striking, relentless pressure, strong takedown defense","defensive lapses, susceptibility to leg kicks, can be outpaced"
Aaron Riley,technical striker,"solid boxing skills, good footwork, effective combinations","vulnerable to grappling, inconsistent defense, lacks knockout power"
Benji Radach,striker,"heavy hands, aggressive style, strong chin","limited grappling, cardio issues, defensive vulnerabilities"
Ivan Salaverry,submission specialist,"high-level grappling, effective submissions, versatile striking","can be outstruck, struggles against powerful wrestlers, inconsistent pace"
